Inmueble,Latitud,Longitud,Estado,Superficie Util,Superficie Construida,SuperficieTerreno,Zona,Precio
Casa,19.70983800772990%2C,-101.1101727,Nuevo,---,562,,TRES MARIAS,8909
Casa,19.67386750000000%2C,-101.1865127,Usado,240,,240,- - -,3300
Terreno,19.64826088293160%2C,-101.1550553,No Aplicable,400,,- - -,- - -,1333333
Terreno,19.75229930000000%2C,-101.180958,No Aplicable,717,,- - -,- - -,1075500
Local Comercial,19.73386581511140%2C,-101.2079859,Nuevo,60,,60,- - -,417600
Terreno,19.71738381531720%2C,-101.2452793,No Aplicable,---,- - -,,- - -,100
Casa,19.66093626071330%2C,-101.1645126,Usado,190,,190,- - -,2400
Casa,17.70486576576200%2C,-101.6146088,Usado,170,,170,- - -,2900
Casa,19.68391890000000%2C,-101.2575915,Nuevo,139,,139,- - -,900
Casa,19.72453430341680%2C,-101.1034012,Usado,100,,100,- - -,1250
Terreno,19.60531230000000%2C,-101.2881982,No Aplicable,3250,3250,,- - -,1300
Casa,19.67372360000000%2C,-101.1946551,Remodelado,120,,120,- - -,650
Terreno,19.68679604375480%2C,-101.1330302,No Aplicable,120,,- - -,- - -,190
Casa,19.68364697493600%2C,-101.1613369,Usado,890,,890,- - -,7900
Oficinas/ Despachos,19.69751780000000%2C,-101.1836807,Usado,35,,35,- - -,2500
Terreno,19.73338107467920%2C,-101.1975574,No Aplicable,200,,- - -,- - -,350
Casa,19.63000895706380%2C,-101.2809334,Usado,---,- - -,,- - -,405
Casa,19.64258753401310%2C,-101.1665726,Usado,248,,248,Altozano,3980
Terreno,19.65990950000000%2C,-101.2219193,No Aplicable,1 ;,- - -,,- - -,500
Casa,19.54231962329660%2C,-101.5979576,Nuevo,72,,- - -,- - -,520
Casa,19.68246390000000%2C,-101.1546576,Usado,200,,200,- - -,2150
Casa,19.67486081204520%2C,-101.1726885,Usado,245,,245,Altozano,3500
Casa,19.65891557866820%2C,-101.163826,Nuevo,200,,200,- - -,2400
Casa,19.68322640000000%2C,-101.2564341,Usado,64,,64,- - -,500
Local Comercial,19.73386581511140%2C,-101.2079859,Nuevo,60,,60,- - -,417.6
Casa,19.71629303477730%2C,-101.1670876,Nuevo,124,,124,- - -,999
Terreno,19.73338107467920%2C,-101.1975574,No Aplicable,200,,- - -,- - -,350
Departamento,19.67394884301830%2C,-101.218071,Usado,---,- - -,,Salida a Patzcuaro,430
Terreno,32.5056818000%2C,-117.0700975,No Aplicable,160,,- - -,- - -,672
Casa,19.68496740000000%2C,-101.250752,Nuevo,63,,63,- - -,675
Casa,19.73296904711390%2C,-101.1206017,Usado,---,- - -,,Tres Marias,5
